
State Machine - |irrigation_system|state
Name state.DONE state.WR_MEMB4 state.WR_MEMB3 state.WR_MEMB2 state.WR_MEMB1 state.EN_FLAG state.RES_FLAG state.FLAG_COMP state.WR_HIGH_20 state.WR_HIGH_40 state.DATA_COMP state.WR_AVR state.EN_DATA state.RD_MEMA4 state.RD_MEMA3 state.RD_MEMA2 state.RD_MEMA1 state.WR_MEMA state.RESET 
state.RESET 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state.WR_MEMA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
state.RD_MEMA1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
state.RD_MEMA2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
state.RD_MEMA3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
state.RD_MEMA4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
state.EN_DATA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
state.WR_AVR 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
state.DATA_COMP 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
state.WR_HIGH_40 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
state.WR_HIGH_20 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
state.FLAG_COMP 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
state.RES_FLAG 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
state.EN_FLAG 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.WR_MEMB1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.WR_MEMB2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.WR_MEMB3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.WR_MEMB4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
state.DONE 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
